id,count,description,name,shelve_id
b8f8ec52-30e9-4bf1-a240-cbe4408fa132,92,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Egg Patty Fried,
a9193c3f-40a3-4398-a044-47466b24a234,5,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.",V8 Splash Strawberry Banana,
f630c953-a424-4422-9fa8-50080749c5fe,29,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Artichoke - Fresh,
dc909472-667f-42cd-85df-b302119a37df,42,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.",Coffee - 10oz Cup 92961,
6be1e92d-939e-4632-a344-0947c5f10649,80,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",Sugar - Monocystal / Rock,
77bc5f0a-d666-4a88-8927-cfddf29c5382,75,In sagittis dui vel nisl.,Truffle Cups - Brown,
236bb2b7-91ae-4a7a-942c-40fbb3f7d8c2,65,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",Cake - Box Window 10x10x2.5,
2a77deb5-edcf-4ff9-a946-41384503bf95,68,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",Pepper - Scotch Bonnet,
ddf733d8-535c-426e-8072-a3da1a5e2a5d,66,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",Sauce - Marinara,
3629f580-cbc9-4194-ac6e-156749a768b9,25,Nullam sit amet turpis elementum ligula vehicula consequat.,Shortbread - Cookie Crumbs,
16d63ee8-26d3-4aad-abc5-70954d0e37ee,12,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,Oil - Peanut,
5c0ebc24-2a8e-4100-9536-e0de19181481,17,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Jello - Assorted,
a0d6b557-620a-480f-8460-136daa0ab713,17,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",Muffin - Bran Ind Wrpd,
16a59639-57e7-47cd-b748-feb40e91f9c3,70,In hac habitasse platea dictumst.,Lamb - Loin Chops,
2a279033-651c-4677-a339-5e89230a6025,47,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",Bread Bowl Plain,
5abd1aff-c092-4c67-aee3-177b57ecf9c5,78,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Wine - Sake,
2f29116b-169b-4683-b51e-420713516b44,12,"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Wine - Manischewitz Concord,
9de472ca-e404-4e40-a3fd-031a56e7f2de,36,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Beer - Upper Canada Lager,
0b288340-34c1-4c15-90d1-e92207020337,23,"Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",The Pop Shoppe - Lime Rickey,
