id,address,country,region
1b4ee441-8286-42fc-8d9a-c0a3618a9766,601 Farmco Center,Hungary,CR
570227de-428c-4625-a04d-5f537108d20d,89993 Riverside Avenue,Central African Republic,AU
9add46d6-50d3-47ef-9254-b7de7e0324cc,0637 Mayer Place,China,CA
0abc9e1d-bb55-47c3-a899-8ccab2cff8ad,5 Anthes Trail,Cuba,US
c79130d5-ea43-4281-8f18-2b56a8382d36,070 Starling Hill,China,US
20ce9ce6-1084-45ff-ba5e-217c24123a4e,317 Dovetail Crossing,China,PG
43d97ab5-bc9f-404c-9277-eea735d66cac,38 Bunker Hill Plaza,China,US
1a7e5f7b-fa00-4a64-b12b-38f27fc4f448,81 Di Loreto Trail,Russia,US
e72d0be3-f5be-4c66-8431-11aa76309f8d,23 Haas Plaza,Russia,CA
98ae93e0-14bb-4b24-9cbf-5780441b9694,6771 Sachs Road,Luxembourg,DZ
69204419-e00d-43a2-9854-6b3e1e62e9c5,08686 Waywood Parkway,China,US
22323a7b-013a-492d-8db3-2ddecbe37aaa,9616 Northport Hill,Philippines,PF
18ecb6f7-51eb-4a89-85b9-97130aef3435,0 Evergreen Road,Brazil,US
f71dfe0a-d984-46f0-8397-f5a30d938069,7 Sachs Parkway,Poland,CN
14a4426c-d2e5-42e4-a07f-f47968da7dbe,83892 Walton Hill,Argentina,US
3a09e68c-10ee-432b-a767-9251824af50e,2 Main Pass,Peru,US
108bee56-a852-4378-bb26-d768103589c2,26113 Merry Street,Bangladesh,BZ
58c52bc0-f24c-47e8-852c-f91cb6df8a1a,74 Kings Point,Argentina,ZM
0292cb2b-b701-4944-82e3-630717a1aaff,59406 Ronald Regan Park,Sri Lanka,NO
86bdad7d-8918-4ab0-bb68-a606fc0c8f1a,17 Duke Avenue,Sri Lanka,DE
386725d6-52b6-42f4-9019-d617aa237f30,28 Goodland Park,Indonesia,SI
c1a382ef-1055-4078-9451-98d9b20adb7e,58 Talisman Terrace,Russia,US
6244d269-a478-4705-9b8b-749bf820e408,7 Arrowood Junction,China,AU
bc66b40d-1d7c-4409-9bf9-6d4d4da2c088,2 Towne Lane,Indonesia,MV
1effc85e-73a1-45f5-94c9-641affff2b0d,0 Holmberg Center,Russia,PE
fe03b68a-d695-48f3-aef6-d2732cf5c564,8339 Fulton Street,Portugal,ZA
082f2437-c4a8-4bd1-be8e-6b0921fdfa50,698 Red Cloud Place,China,US
402db7be-91d2-49f3-9e7f-45ff1c293a17,2473 Rieder Alley,Philippines,AR
f1c91e98-49df-467f-8752-52d571ef4b91,81 Coleman Center,China,PH
c32349c6-dc3a-48bc-bcad-41826b01c282,96 Trailsway Circle,Greece,US
02929090-a2a7-44f2-a16c-a1b2e15ff922,52742 Butternut Way,China,UA
e29f7a99-4c20-4d55-8d7d-ae4d66f1f361,09883 Upham Point,Indonesia,PL
399069aa-9932-4714-92da-c38900130792,1096 Stoughton Lane,Philippines,US
8f8b5fa6-8b54-4c14-a7b0-b8e5c4f796be,28222 Tomscot Hill,Philippines,MM
6d3356a7-e89f-4b8f-99b0-1cd296e98fa5,315 Lerdahl Trail,Brazil,AU
b6c3eff0-9fa8-494d-a2c7-29e92fee4c19,3 Alpine Alley,Thailand,EG
db321af4-8be3-41ba-bb79-fe884ff86e41,789 8th Circle,Brazil,CA
36352140-c40c-478a-8ae4-d3c2d4d60e41,53413 Waubesa Crossing,Philippines,MX
f96217c4-d07c-4cf6-bb78-8d59ffe90db8,37305 Grayhawk Avenue,Canada,GR
2ee6125c-5cb3-4330-bf6d-8916a7414407,49070 Summit Junction,Czech Republic,TR
5e7f5c9b-7984-42b6-b27a-5f0a66f48cbc,518 Waxwing Point,Philippines,ZW
